"tag","scenario","phi","alpha_true","N","sim","ok_tsbb","ok_bbjm","alpha_tsbb","se_tsbb","alpha_bbjm","se_bbjm","beta0_tsbb","beta0_bbjm","beta1_tsbb","beta1_bbjm","phi_tsbb","phi_bbjm","time_tsbb","time_bbjm"
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,100,1,TRUE,TRUE,0.0226651991025701,0.0225647639922283,0.0220767064009944,0.0229117177865276,-0.254650997635276,-0.253953357986396,0.027854446010826,0.0309562801555109,0.0392942455186474,0.0392246736549847,0.322999999999997,1.521
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,100,2,TRUE,TRUE,0.0031945792760701,0.0222527577308476,0.00365599929835341,0.0228915600534151,-0.0858182300487107,-0.0860926383982719,0.039195182959603,0.040249803388102,0.0478087340085536,0.0478185808179731,0.280999999999999,1.069
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,100,3,TRUE,TRUE,0.025091946602029,0.0236869507403143,0.0252669650705331,0.0239404456651316,-0.300169306041936,-0.300608580571235,-0.0287861127383935,-0.0246653457648785,0.0446909648450126,0.0446377599098275,0.351000000000006,1.317
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,100,4,TRUE,TRUE,0.0505475598252362,0.0192929886030755,0.0556488749006334,0.020301937186099,-0.449792432950892,-0.462715173468459,0.0523224391074988,0.0783586982824748,0.0449493704454311,0.0453514877508301,0.277999999999999,1.267
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,100,5,TRUE,TRUE,0.039157981023955,0.0178972596273992,0.0423829663576943,0.0181591493265947,-0.375549837164059,-0.391130360549376,0.0884865139372006,0.121846160552272,0.0336989931521007,0.0306193525963013,0.224000000000004,1.169
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,100,6,TRUE,TRUE,-0.0516548065040824,0.022024816144524,-0.0535867291308033,0.0227297166017324,-0.27053587958875,-0.262563954942395,0.021763148647643,0.0026541870137708,0.0293180445624701,0.0291804213634726,0.255000000000003,1.442
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,100,7,TRUE,TRUE,0.0177738844092888,0.0197184291728651,0.0184818638973705,0.0200559607021647,-0.315175086674171,-0.317402148992554,0.0381873308018393,0.0450477073801468,0.040551982219351,0.0403570547096129,0.233000000000004,1.263
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,100,8,TRUE,TRUE,0.0373617539880205,0.022697088112983,0.0419711657687715,0.0232487337259119,-0.25496913202099,-0.260054123013257,-0.0130840345194573,0.00322495424009505,0.0411677509338526,0.0405376423134702,0.231999999999992,1.143
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,100,9,TRUE,TRUE,0.0125945936482657,0.0215524281310215,0.0142701869274269,0.0218233442090741,-0.252679633083306,-0.253768141289798,0.0471172964689121,0.0508730702192495,0.0440250499935066,0.0439662639808571,0.331000000000003,1.453
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,100,10,TRUE,TRUE,0.0350134241542632,0.0251061605717542,0.0360797272705777,0.0257555209265933,-0.247552799871765,-0.248700898336903,0.00455635431033898,0.0127524793809517,0.046696799763721,0.0468309737921154,0.238,1.235
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,100,11,TRUE,TRUE,0.0125998557694324,0.0237779387036063,0.0123020591314251,0.024207303477979,-0.0665793401962231,-0.0664774563143238,0.0801231486021801,0.0817692243523427,0.0302730266488483,0.0302690409242108,0.382999999999996,1.441
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,100,12,TRUE,TRUE,0.00807849519887335,0.0265295307236618,0.00951671027153379,0.0276222633476363,0.015527444177025,0.0139013277751697,-0.0356413372971452,-0.0316907572410233,0.0595584751505758,0.059591219819052,0.247,1.106
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,100,13,TRUE,TRUE,0.0178801988649972,0.0205407045241633,0.018695438531039,0.0209514703173679,-0.0835147758422515,-0.0853794843030698,0.0437489760735947,0.0492621268151628,0.0466674968136659,0.0468094485786523,0.261000000000003,1.243
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,100,14,TRUE,TRUE,0.022968064029406,0.020322407349774,0.0230556012975153,0.0205722015198719,-0.0923095654494125,-0.0952669196234961,0.0358481752845445,0.042113684907315,0.0373841393043808,0.0367538152362619,0.328000000000003,1.319
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,100,15,TRUE,TRUE,0.00818590495848156,0.023742699644301,0.00788952432057821,0.0241799406462576,-0.16903355684654,-0.169226445270073,0.025495363295225,0.0271174898937067,0.0495772097005136,0.0495474575995936,0.310000000000002,1.45399999999999
