"sigma_u","engine","param","true","n_ok","mean","bias","pct_bias","RMSE","ESD","ASD","CP95","time_mean"
0.5,"PROreg","g0_1",1,30,1.04125638909683,0.0412563890968292,0.0412563890968292,0.251394097473447,0.252225069038677,0.247263098885012,96.6666666666667,9.34186666666666
0.5,"PROreg","g1_1",-1.5,30,-1.48724218761629,0.0127578123837138,-0.00850520825580917,0.417650597849523,0.424592210171748,0.42601137284073,90,9.34186666666666
0.5,"PROreg","phi_1",0.5,30,0.475550895751025,-0.0244491042489752,-0.0488982084979505,0.0969893633204456,0.0954617339767967,NA,NA,9.34186666666666
0.5,"PROreg","g0_2",-2,30,-1.98081571597935,0.0191842840206515,-0.00959214201032577,0.441100881751935,0.448217101562844,0.347949293887583,86.6666666666667,9.34186666666666
0.5,"PROreg","g1_2",2.5,30,2.45971904636821,-0.0402809536317852,-0.0161123814527141,0.674680991753918,0.684990726397255,0.577562347289648,93.3333333333333,9.34186666666666
0.5,"PROreg","phi_2",1,30,0.965615025368679,-0.0343849746313206,-0.0343849746313206,0.199352088761035,0.199721173258925,NA,NA,9.34186666666666
0.5,"PROreg","g0_3",0.5,30,0.417073210253949,-0.0829267897460512,-0.165853579492102,0.320032121266523,0.314385617900788,0.356075764424587,96.6666666666667,9.34186666666666
0.5,"PROreg","g1_3",0.5,30,0.556381056964528,0.0563810569645279,0.112762113929056,0.565663415817285,0.572468589479814,0.635727419983486,96.6666666666667,9.34186666666666
0.5,"PROreg","phi_3",1.5,30,1.49598622730969,-0.00401377269031467,-0.00267584846020978,0.36797273274625,0.374241055001296,NA,NA,9.34186666666666
0.5,"PROreg","sigma",0.5,30,0.56610713197203,0.0661071319720297,0.132214263944059,0.19907077273297,0.190983894407449,NA,NA,9.34186666666666
0.5,"PROregTMB","g0_1",1,30,1.07451755420794,0.074517554207943,0.074517554207943,0.271599185004945,0.265641548883693,0.271366419177675,96.6666666666667,0.286800000000003
0.5,"PROregTMB","g1_1",-1.5,30,-1.53251793805117,-0.0325179380511651,0.0216786253674434,0.435629389641985,0.441840448061112,0.466685267466566,93.3333333333333,0.286800000000003
0.5,"PROregTMB","phi_1",0.5,30,0.510361116130839,0.0103611161308387,0.0207222322616774,0.0929958667696488,0.0939967635654962,NA,NA,0.286800000000003
0.5,"PROregTMB","g0_2",-2,30,-2.01801238129284,-0.0180123812928401,0.00900619064642005,0.458768375852171,0.466251349413449,0.371377341315174,86.6666666666667,0.286800000000003
0.5,"PROregTMB","g1_2",2.5,30,2.50557744429395,0.0055774442939458,0.00223097771757832,0.694173272963309,0.706017552540235,0.606486637725497,96.6666666666667,0.286800000000003
0.5,"PROregTMB","phi_2",1,30,1.00541602755076,0.00541602755076354,0.00541602755076354,0.198627009000397,0.201947471874657,NA,NA,0.286800000000003
0.5,"PROregTMB","g0_3",0.5,30,0.427633598197504,-0.0723664018024959,-0.144732803604992,0.325474211624092,0.322752012717061,0.360006798845175,96.6666666666667,0.286800000000003
0.5,"PROregTMB","g1_3",0.5,30,0.564989313581811,0.0649893135818113,0.129978627163623,0.572156410105261,0.578171326545471,0.639793180518294,96.6666666666667,0.286800000000003
