"tag","scenario","phi","alpha_true","method","n_ok","pct_conv","mean_alpha","bias","pct_bias","RMSE","ESD","ASD","CP95","time_mean","speedup_vs_tsbb"
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,"TSBB",40,100,0.0140984360399809,0.00409843603998087,0.409843603998087,0.0204446573117794,0.0202848139388971,0.0216984822386412,95,0.293599999999998,NA
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,"BBjm",40,100,0.0146741383842895,0.00467413838428955,0.467413838428955,0.0217179623355903,0.0214792044539359,0.022155059319858,95,1.29635,0.226482045743818
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,"TSBB",40,100,0.0426351880168136,-0.00736481198318643,-0.147296239663729,0.024954530877552,0.0241467342543408,0.0237651453011399,97.5,0.2992,NA
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,"BBjm",40,100,0.0487796170509422,-0.00122038294905776,-0.0244076589811551,0.0280156831502226,0.0283456534511128,0.0269668615382998,95,1.27725,0.234253278528087
"Sc1_phi0.5_alpha0.1",1,0.5,0.1,"TSBB",40,100,0.0918230581159225,-0.00817694188407751,-0.0817694188407751,0.0360003509862629,0.0355060542697106,0.0278265930040451,95,0.238250000000004,NA
"Sc1_phi0.5_alpha0.1",1,0.5,0.1,"BBjm",40,100,0.118491852509256,0.0184918525092559,0.184918525092559,0.0457239958655166,0.0423506145468771,0.0404367704219753,97.5,1.131875,0.210491441192715
"Sc2_phi0.5_alpha-0.1",2,0.5,-0.1,"TSBB",40,100,-0.0953611806730724,0.00463881932692756,-0.0463881932692756,0.0624699762569684,0.0630911370816432,0.0696444465507003,97.5,0.325674999999988,NA
"Sc2_phi0.5_alpha-0.1",2,0.5,-0.1,"BBjm",40,100,-0.108650565888156,-0.00865056588815612,0.0865056588815612,0.0748012188081985,0.075245853757527,0.0784012301256184,97.5,1.165025,0.279543357438673
"Sc2_phi1_alpha-0.15",2,1,-0.15,"TSBB",40,100,-0.137143581405153,0.0128564185948469,-0.0857094572989794,0.0812951351602408,0.0812947249787472,0.0796625658109265,92.5,0.331399999999995,NA
"Sc2_phi1_alpha-0.15",2,1,-0.15,"BBjm",40,100,-0.162796834275937,-0.0127968342759373,0.0853122285062484,0.101472566603174,0.101944795546538,0.0946096858978336,95,1.14275000000001,0.290002187705092
