"sigma_u","sim","n","ok_proreg","ok_tmb","g1_1_P","g1_2_P","g1_3_P","g1_1_T","g1_2_T","g1_3_T","sigma_P","sigma_T","time_P","time_T"
0.5,1,100,TRUE,TRUE,-1.00482977044477,2.73702638865277,0.899657790904787,-1.04197189254925,2.78380311329776,0.903574849659968,0.553006647614374,0.410189242040133,7.954,0.362000000000002
0.5,2,100,TRUE,TRUE,-1.74299059932551,3.05367940333638,-0.163595452421094,-1.82303194492117,3.16592518566395,-0.200146071043201,0.767740834930847,0.644676170534319,9.299,0.347000000000001
0.5,3,100,TRUE,TRUE,-1.85672550458359,3.26976112075231,1.25399805175247,-1.95935224103551,3.33392050605331,1.27998461021472,0.708349809413925,0.579172849065023,9.543,0.301000000000002
0.5,4,100,TRUE,TRUE,-1.58015057868817,2.48748211970746,-0.411720912789295,-1.6435393143895,2.55556365457314,-0.387474907894174,0.581221883708557,0.446441781753334,9.071,0.291000000000004
0.5,5,100,TRUE,TRUE,-1.57243853132553,2.33161342409078,0.854580444008735,-1.61601060003598,2.35615124047725,0.863154260444291,0.528883721577181,0.372030886007501,8.066,0.244999999999997
0.5,6,100,TRUE,TRUE,-1.76792755039825,3.70410087578645,0.744111127416324,-1.88349751737181,3.8752430532128,0.78029383697448,0.927579658362942,0.83238991832013,9.523,0.289999999999992
0.5,7,100,TRUE,TRUE,-1.02813127449907,2.98788616369722,0.482928454859386,-1.04186350776459,3.04792287530403,0.467211103211049,0.546679363707525,0.407573903171875,7.47199999999999,0.272000000000006
0.5,8,100,TRUE,TRUE,-1.7623580910254,1.90754079002485,1.49311424987225,-1.82256275361431,1.9429505710549,1.51153736700148,0.524544262584341,0.398406869476524,6.776,0.277000000000001
0.5,9,100,TRUE,TRUE,-1.87330383430997,2.43787826970031,0.619826474650523,-1.95604618762917,2.46016953479212,0.59991890704296,0.655121081181354,0.505844802739968,9.824,0.319000000000003
0.5,10,100,TRUE,TRUE,-1.84880116581282,2.49008945688317,-0.247945788976566,-1.87824645984444,2.50419396388633,-0.248045622230257,0.378966810198147,0.240928438030874,10.321,0.25200000000001
0.5,11,100,TRUE,TRUE,-1.89927440083595,2.14555759746605,1.87969168425511,-1.90614415966462,2.16235029816951,1.87664175246989,0.358879033911268,0.19856260795673,12.672,0.296000000000006
0.5,12,100,TRUE,TRUE,-2.01089626358131,1.61458184685114,1.21773423574048,-2.01628971865033,1.61280924962631,1.21751432792843,0.185676922443776,0.000117644781533286,13.295,0.355000000000018
0.5,13,100,TRUE,TRUE,-2.24034595362874,1.83443140675468,0.115582927511141,-2.32578002662598,1.89263386963919,0.109164579878397,0.739947588698962,0.617331987264907,9.89700000000002,0.310000000000002
0.5,14,100,TRUE,TRUE,-0.684642970327226,2.95615272517178,0.0611991411276498,-0.691604896899956,2.97177594001888,0.0491306014409384,0.443971159038898,0.288161832998586,5.50900000000001,0.296999999999997
0.5,15,100,TRUE,TRUE,-1.63847339305506,1.97611150255302,-0.545610189678966,-1.64083264442566,1.97462441833644,-0.545217604105044,0.291245604286781,0.0988062550451849,17.406,0.27800000000002
0.5,16,100,TRUE,TRUE,-1.85380414693938,1.99526242192546,0.257492912025896,-1.96205619404535,2.05816108632075,0.305129387461987,0.931506802592769,0.800965128818781,8.959,0.294000000000011
0.5,17,100,TRUE,TRUE,-1.8050925286867,3.23890699592171,1.0946374600648,-1.87179288548803,3.29408961166447,1.11965766282462,0.6274489427498,0.485066786868502,8.833,0.261000000000024
0.5,18,100,TRUE,TRUE,-1.29828935933301,1.95933232789622,0.132362058426201,-1.3354845841451,1.98485739020915,0.150718408456186,0.59206263099543,0.448421709770749,10.34,0.272999999999996
0.5,19,100,TRUE,TRUE,-1.72822535201581,3.02793234489082,-0.18516158023452,-1.806786078897,3.11588651233397,-0.186081096697344,0.703024017254113,0.56314071171964,10.435,0.267999999999972
0.5,20,100,TRUE,TRUE,-1.27737086279161,1.07130928743984,0.880016005338893,-1.30318154417202,1.10609371915507,0.907489529417483,0.565473792310026,0.422026107134573,9.17099999999999,0.27000000000001
0.5,21,100,TRUE,TRUE,-1.45809462905847,3.08248724822535,0.222242688573553,-1.46448889431422,3.07528119665814,0.218901587753778,0.218825384251157,0.000142506248477885,15.562,0.324000000000012
0.5,22,100,TRUE,TRUE,-1.12240723265437,1.99896704358502,0.19300683290505,-1.15422176147967,2.05572710680049,0.183943946309456,0.612667257569043,0.474631089168705,8.917,0.27600000000001
0.5,23,100,TRUE,TRUE,-0.200725285367251,3.32932423709863,0.859690621433554,-0.210056023005742,3.35139596955316,0.881611834339863,0.487786700029298,0.334978662600051,3.28999999999999,0.272999999999996
0.5,24,100,TRUE,TRUE,-1.32143761559569,2.58567714354572,0.782985545277969,-1.3990136713341,2.72537861814645,0.815481589135626,0.923640376629637,0.831778679436497,8.029,0.278999999999996
