"tag","scenario","phi","alpha_true","N","sim","ok_proreg","ok_tmb","alpha_proreg","alpha_tmb","se_proreg","se_tmb","time_proreg","time_tmb","time_bbmm_proreg","time_bbmm_tmb"
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,80,1,TRUE,TRUE,0.0268077274167045,0.0262622496146333,0.0225096687702768,0.0224815937506916,6.35,0.452000000000002,6.224,0.335999999999999
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,80,2,TRUE,TRUE,-0.0318764915537526,-0.0316643389332411,0.0263534334005803,0.0263622273767688,11.342,0.305,11.228,0.191000000000003
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,80,3,TRUE,TRUE,0.00213265300871452,0.00237512424965377,0.0228164141006119,0.0227279444381994,12.28,0.344000000000001,12.177,0.242000000000004
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,80,4,TRUE,TRUE,-0.0199350863173656,-0.0200377667178336,0.0222137917368939,0.0222826138975186,12.063,0.327000000000005,11.943,0.211000000000006
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,80,5,TRUE,TRUE,0.0191977433962259,0.0192371379546754,0.022291389529423,0.0222901495425836,11.899,0.295000000000002,11.796,0.194000000000003
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,80,6,TRUE,TRUE,0.0327235580050693,0.0319671397752273,0.0247276126400644,0.0246777183015001,4.82300000000001,0.289999999999992,4.717,0.182000000000002
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,80,7,TRUE,TRUE,0.0229737450617991,0.0220699949435866,0.0213956550217744,0.0214184821852607,12.114,0.314000000000007,12,0.201000000000008
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,80,8,TRUE,TRUE,-0.00918902471223575,-0.00928102394520276,0.0217764144631063,0.0218096621802631,13.089,0.272999999999996,12.987,0.169999999999987
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,80,1,TRUE,TRUE,0.0197034558328177,0.0202610281573072,0.0249965176894829,0.0260053132221548,13.284,0.313000000000002,13.193,0.221000000000004
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,80,2,TRUE,TRUE,0.0380960608574697,0.039337419392794,0.0237142892272606,0.0286808871474977,13.363,0.272999999999996,13.245,0.182000000000016
